strategy,tp,fp,tn,fn,support,positive_support,negative_support,precision,recall,specificity,npv,fpr,fnr,accuracy,balanced_accuracy,f1,f2,mcc,roc_auc,pr_auc,cwe_attribution_acc
bks_tau_0_4,34.2,6.6,43272.2,4898.2,48211.2,4932.4,43278.8,0.8468461538461538,0.006932557288314161,0.999847486247629,0.8983151516413488,0.00015251375237117448,0.9930674427116859,0.8982643036277255,0.5033900217679715,0.013746446163626736,0.008647029400655355,0.07057473724654212,0.665573490681476,0.2766533452830929,0.8012063492063491
bks_tau_0_5,33.2,5.6,43273.2,4899.2,48211.2,4932.4,43278.8,0.8596666666666668,0.006730210060471184,0.9998705990844984,0.8982986169143194,0.0001294009155015771,0.9932697899395289,0.8982643036277255,0.5033004045724848,0.013351590314135436,0.008395650381711004,0.07035838778248621,0.665573490681476,0.2766533452830929,0.8169206349206348
bks_tau_0_6,22.6,0.6,43278.2,4909.8,48211.2,4932.4,43278.8,0.9749002849002849,0.004581370743394713,0.9999861366756179,0.8981115579987652,1.3863324382053476e-05,0.9954186292566053,0.8981481464446247,0.5022837537095064,0.009119222097612196,0.005719888849999298,0.06302340152002613,0.665573490681476,0.2766533452830929,0.818819926069354
bks_tau_0_7,9.8,0.4,43278.4,4922.6,48211.2,4932.4,43278.8,0.982,0.0019888237947424366,0.9999907592429919,0.89787354288312,9.240757008134002e-06,0.9980111762052575,0.8978867933202752,0.5009897915188672,0.003961343925631547,0.0024834734799534164,0.035488849455870615,0.665573490681476,0.2766533452830929,0.9223684210526315
bks_tau_0_8,1.2,0.0,43278.8,4931.2,48211.2,4932.4,43278.8,1.0,0.0002433430593829518,1.0,0.8977141622858424,0.0,0.9997566569406171,0.897716707396149,0.5001216715296914,0.0006081520503882372,0.0003801913967900222,0.0162861692300895,0.665573490681476,0.2766533452830929,1.0
bks_tau_0_9,0.0,0.0,43278.8,4932.4,48211.2,4932.4,43278.8,,0.0,1.0,0.8976918172411086,0.0,1.0,0.8976918172411086,0.5,,,,0.665573490681476,0.2766533452830929,
logistic_regression_tau_0_1,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6496902564764586,0.28286608524392204,0.9600229513590854
logistic_regression_tau_0_2,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6496902564764586,0.28286608524392204,0.9599823916348915
logistic_regression_tau_0_3,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6496902564764586,0.28286608524392204,0.959941716426431
logistic_regression_tau_0_4,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6496902564764586,0.28286608524392204,0.7020098308962979
logistic_regression_tau_0_5,4932.4,43278.8,0.0,0.0,48211.2,4932.4,43278.8,0.10230818275889138,1.0,0.0,,1.0,0.0,0.10230818275889138,0.5,0.1856253213467286,0.36299226289234265,,0.6496902564764586,0.28286608524392204,0.28026084906176096
logistic_regression_tau_0_6,1889.8,1991.2,41287.6,3042.6,48211.2,4932.4,43278.8,0.4869584095520019,0.3831373829289851,0.9539912290840482,0.931365051007569,0.04600877091595185,0.6168626170710149,0.895588517613545,0.6685643060065166,0.4288470289864855,0.40019869817697956,0.37553548391773084,0.6496902564764586,0.28286608524392204,0.5176608209678651
logistic_regression_tau_0_7,1869.2,1971.2,41307.6,3063.2,48211.2,4932.4,43278.8,0.48671496723003466,0.3789591137103635,0.9544533127454391,0.9309640087239828,0.04554668725456089,0.6210408862896365,0.8955760697395944,0.6667062132279014,0.42611544017242453,0.39650863918185386,0.373169069464559,0.6496902564764586,0.28286608524392204,0.5216322529829653
logistic_regression_tau_0_8,1855.2,1956.2,41322.6,3077.2,48211.2,4932.4,43278.8,0.4867917056874663,0.37612297155089436,0.9547999244391612,0.9306933340132728,0.04520007556083885,0.6238770284491056,0.895596813786985,0.6654614479950277,0.42435004327377596,0.3940339321015524,0.37168857434673047,0.6496902564764586,0.28286608524392204,0.5249089966153736
